Posisi,Perusahaan,Lokasi,Gaji,Waktu
Data Engineer (Junior),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Gaji tidak disebutkan,9 jam yang lalu
Data Operations Engineer - L2,Proxima Consulting Indonesia,Jakarta Raya,Gaji tidak disebutkan,1 hari yang lalu
Data Operations Engineer - L1,Proxima Consulting Indonesia,Jakarta Raya,Gaji tidak disebutkan,1 hari yang lalu
Senior Data Scientist (Analytics),Data Analytics,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
Junior AI Engineer,PINDAI,Tangerang Selatan,Rp 8.000.000 – Rp 12.000.000 per month,2 hari yang lalu
Senior Data Scientist (Analytics),PT Solusi Transportasi Indonesia,Jakarta Raya,Gaji tidak disebutkan,2 hari yang lalu
DATA ANALYST,PT Unicom Harbura Jaya Makmur,Jakarta Pusat,Gaji tidak disebutkan,3 hari yang lalu
Data Engineer,PT Indocyber Global Teknologi,Kebayoran Lama,Gaji tidak disebutkan,3 hari yang lalu
Data Engineer,Floq,Kebayoran Lama,Gaji tidak disebutkan,3 hari yang lalu
Data AI Machine Learning,"PT. Metrodata Electronics, Tbk",Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
Data Analyst,PT Mata Pelangi Chemindo,Jakarta Barat,Gaji tidak disebutkan,3 hari yang lalu
Data Scientist and AI/ML Engineer,PT Selaras Kinerja Muda,Jakarta Selatan,"Rp 8,000,000 – Rp 12,000,000 per month",3 hari yang lalu
Jr Data Engineer,PT Indocyber Global Teknologi,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu
Machine Learning Engineer,PT Nomura Research Institute Indonesia,Jakarta Pusat,Gaji tidak disebutkan,4 hari yang lalu
Data Science Supervisor,PT KALBE FARMA (CORPORATE),Jakarta Raya,Gaji tidak disebutkan,4 hari yang lalu
Data Science Senior Specialist,PT ABM Investama,Jakarta Selatan,Gaji tidak disebutkan,5 hari yang lalu
Data Scientist,detikcom,Jakarta Raya,Gaji tidak disebutkan,5 hari yang lalu
Data Engineer,PT Hastari Adakara Investama,Jakarta Pusat,Gaji tidak disebutkan,5 hari yang lalu
Data Engineer,"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,Gaji tidak disebutkan,5 hari yang lalu
Marketing Data Analyst,TyrAds Pte Ltd,Indonesia,Gaji tidak disebutkan,5 hari yang lalu
Data Engineer,TyrAds Pte Ltd,Indonesia,Gaji tidak disebutkan,5 hari yang lalu
Data Analyst,Isixi Private Limited,Jakarta Raya,Gaji tidak disebutkan,5 hari yang lalu
Heavy Equipment Data Analyst Supervisor,Pengiklan Anonim,Jakarta Pusat,Gaji tidak disebutkan,5 hari yang lalu
Data Engineer KG Media,Kompas Gramedia - KG Media,Kemayoran,Gaji tidak disebutkan,6 hari yang lalu
Data Engineer,Larusso Group Indonesia,Jakarta Raya,Gaji tidak disebutkan,6 hari yang lalu
SALES DATA ANALYST,PT Forisa Nusapersada,Jakarta Utara,Gaji tidak disebutkan,6 hari yang lalu
Data Specialist,PT ZTE Indonesia,Jakarta Selatan,Gaji tidak disebutkan,6 hari yang lalu
ROS Technician (Data Analyst Technician),PT. HLI Green Power,Karawang,"Rp 5,000,000 – Rp 6,700,000 per month",8 hari yang lalu
Data Analyst,Aigens Technology Limited,Jakarta Utara,Gaji tidak disebutkan,8 hari yang lalu
Sr. Ai Engineer,Akar Inti Data,Jakarta Raya,Gaji tidak disebutkan,9 hari yang lalu
Data Protection Officer,PT. TEKNOLOGI DIGITAL TERDEPAN,Bandung,Rp 5.000.000 – Rp 7.000.000 per month,9 hari yang lalu
"Senior Data Scientist, Visa Consulting and Analytics",PT Visai Indonesia,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu
IT Data Engineer (SY),PT Ako Media Asia,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu
Data Engineer,PT Depoguna Bangunan Online,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu
Data Engineer (Korean-Speaking),PT Artha Solutions Indonesia,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu
Data Engineer,PT Solusi Pembayaran Elektronik,Cipondoh,Rp 9.000.000 – Rp 13.000.000 per month,10 hari yang lalu
Artificial Intelligence (AI) & Machine Learning Engineer (ML),PT. Bukit Silikon Indonesia,Grogol Petamburan,Gaji tidak disebutkan,10 hari yang lalu
AI Engineer,MCloudbridge,Tangerang Selatan,"Rp 21,000,000 – Rp 25,000,000 per month",10 hari yang lalu
Junior Instruktur Data Analisis,PT Inixindo Amiete Mandiri (Bandung),Bandung,Gaji tidak disebutkan,10 hari yang lalu
DATA ANALYST,PT GOS Indoraya,Medan,Gaji tidak disebutkan,10 hari yang lalu
Data Engineer,PT Nusantara Duta Solusindo (NDS),Jakarta Selatan,Rp 8.000.000 – Rp 10.000.000 per month,10 hari yang lalu
AI Engineer Staff,PRIMA GROUP,Tangerang,Gaji tidak disebutkan,10 hari yang lalu
Sales Analyst,PT So Good Food,Makassar,Gaji tidak disebutkan,10 hari yang lalu
Data Engineer,PT IFS Solusi Integrasi,Jakarta Selatan,Gaji tidak disebutkan,10 hari yang lalu
Data Analis,PT Sahabat Abadi Sejahtera,Jakarta Utara,Gaji tidak disebutkan,10 hari yang lalu
Data Science Supervisor,PT. Cakra Radha Mustika,Jakarta Timur,Gaji tidak disebutkan,10 hari yang lalu
"Data Engineer, Jakarta - X Delivery (On Contract)",The Boston Consulting Group,Jakarta Raya,Gaji tidak disebutkan,10 hari yang lalu
Data Engineer,"PT ZURICH ASURANSI INDONESIA, Tbk",Jakarta Selatan,Gaji tidak disebutkan,11 hari yang lalu
Big Data Engineer,PT Data Labs Analytics,Jakarta Pusat,Gaji tidak disebutkan,11 hari yang lalu
Senior Master Data Management,PT Sukanda Djaya,Bekasi,Gaji tidak disebutkan,11 hari yang lalu
"Traffic Analyst (Placement: BSD, Tangerang)","PT Nusantara Infrastructure, Tbk",Tangerang,Gaji tidak disebutkan,11 hari yang lalu
Data Engineer,Pennyu Group,Semarang,"Rp 4,000,000 – Rp 5,500,000 per month",11 hari yang lalu
AI Engineer,PT Hashmicro Solusi Indonesia,Jakarta Pusat,Gaji tidak disebutkan,11 hari yang lalu
Data Engineer,PT Mitra Informatika,Surabaya,Rp 4.300.000 – Rp 6.000.000 per month,11 hari yang lalu
Data Engineer,Pro Sigmaka,Jakarta Raya,Gaji tidak disebutkan,11 hari yang lalu
Data Analyst,Nas.io,Indonesia,Gaji tidak disebutkan,11 hari yang lalu
Data Science Manager - Mining,PT Michael Page Internasional Indonesia,Jakarta Raya,0,11 hari yang lalu
Staff Data Analyst (Mandarin Speaker),PT Global Jet Express,Surakarta,Gaji tidak disebutkan,11 hari yang lalu
Advisory Analytics Consultant Manager,IlmuOne Data,Kalideres,Gaji tidak disebutkan,11 hari yang lalu
